Date,Open,High,Low,Close,Adj Close,Volume
2022-02-14,171.789993,171.860001,167.009995,167.070007,167.070007,1181900
2022-02-15,167.710007,170.770004,167.339996,168.929993,168.929993,1813400
2022-02-16,168.250000,168.250000,162.940002,166.089996,166.089996,2482900
2022-02-17,165.259995,166.149994,161.880005,162.130005,162.130005,1494400
2022-02-18,162.330002,162.929993,158.350006,158.500000,158.500000,1591600
2022-02-22,157.570007,160.179993,157.539993,158.279999,158.279999,1480900
2022-02-23,158.940002,161.100006,157.660004,157.820007,157.820007,1738200
2022-02-24,154.550003,163.389999,153.970001,163.380005,163.380005,1678300
2022-02-25,165.240005,166.380005,161.139999,165.279999,165.279999,1557900
2022-02-28,163.529999,165.089996,160.869995,162.000000,162.000000,2114100
2022-03-01,163.350006,164.000000,158.000000,159.800003,159.800003,1446900
2022-03-02,160.419998,161.639999,159.630005,160.860001,160.860001,1561300
2022-03-03,161.440002,161.440002,157.279999,158.199997,158.199997,1583800
2022-03-04,158.710007,158.990005,155.399994,158.009995,158.009995,3267600
2022-03-07,158.000000,162.399994,157.110001,158.000000,158.000000,2015500
2022-03-08,158.229996,158.500000,152.979996,156.100006,156.100006,2469200
2022-03-09,158.000000,161.220001,157.539993,158.320007,158.320007,1322200
2022-03-10,157.119995,158.520004,155.509995,158.289993,158.289993,1828400
2022-03-11,158.740005,158.990005,153.470001,153.490005,153.490005,965300
2022-03-14,153.000000,153.119995,141.600006,141.820007,141.820007,4480100
2022-03-15,140.949997,143.809998,133.539993,142.880005,142.880005,3258800
2022-03-16,143.570007,148.809998,141.949997,148.789993,148.789993,2097300
2022-03-17,148.389999,150.059998,145.080002,149.509995,149.509995,1534800
2022-03-18,149.410004,153.199997,147.929993,151.369995,151.369995,1889400
2022-03-21,150.220001,152.820007,149.470001,151.220001,151.220001,1335400
2022-03-22,151.440002,154.479996,150.619995,152.289993,152.289993,1485600
2022-03-23,150.820007,152.529999,149.080002,149.399994,149.399994,1295500
2022-03-24,150.389999,150.679993,148.699997,150.500000,150.500000,1038200
2022-03-25,150.360001,154.539993,148.509995,154.500000,154.500000,1589000
2022-03-25,150.360001,154.539993,148.509995,154.500000,154.500000,1588968
