Date,Open,High,Low,Close,Adj Close,Volume
2021-03-26,210.000000,216.899994,209.500000,212.000000,206.064285,437112
2021-03-29,218.000000,243.500000,216.000000,239.699997,232.988708,2085034
2021-03-30,250.000000,251.600006,216.800003,217.899994,211.799088,1652983
2021-03-31,199.800003,203.699997,181.500000,190.500000,185.166245,3528905
2021-04-01,190.800003,197.779999,185.059998,194.580002,189.132019,1055635
2021-04-02,194.580002,194.580002,194.580002,194.580002,189.132019,0
2021-04-05,194.580002,194.580002,194.580002,194.580002,189.132019,0
2021-04-06,198.979996,201.000000,194.020004,197.080002,191.562027,734970
2021-04-07,198.220001,198.839996,191.000000,191.759995,186.390961,522394
2021-04-08,191.779999,191.779999,182.100006,183.000000,177.876236,1176280
2021-04-09,183.520004,192.000000,181.600006,184.380005,179.217606,1061406
2021-04-12,185.699997,188.100006,183.380005,186.500000,181.278244,391286
2021-04-13,187.199997,190.500000,185.979996,186.500000,181.278244,361855
2021-04-14,188.500000,190.300003,184.199997,185.759995,180.558960,547448
2021-04-15,186.000000,188.800003,185.020004,187.419998,182.172485,325032
2021-04-16,190.000000,192.500000,175.000000,176.759995,171.810944,1703454
2021-04-19,178.940002,185.100006,177.100006,177.500000,172.530228,685110
2021-04-20,178.500000,181.199997,172.220001,173.000000,168.156235,571326
2021-04-21,173.000000,179.960007,167.300003,172.600006,167.767426,735255
2021-04-22,175.699997,176.699997,172.300003,173.500000,168.642227,302258
2021-04-23,176.979996,179.000000,167.500000,171.139999,166.348297,708623
2021-04-26,173.479996,173.899994,165.100006,168.979996,164.248779,689756
2021-04-27,166.000000,173.339996,166.000000,168.300003,163.587830,614501
2021-04-28,170.000000,174.699997,168.600006,172.500000,167.670227,666274
2021-04-29,175.000000,177.000000,170.600006,175.240005,170.333511,524519
2021-04-30,175.759995,179.740005,174.000000,174.119995,169.244858,480142
2021-05-03,174.119995,174.119995,174.119995,174.119995,169.244858,0
2021-05-04,175.220001,175.800003,167.699997,168.919998,164.190460,591802
2021-05-05,168.000000,168.419998,156.300003,161.500000,156.978210,772183
2021-05-06,160.500000,161.279999,154.619995,156.520004,152.137650,773761
2021-05-07,157.000000,161.460007,156.139999,161.460007,156.939346,449907
2021-05-10,163.000000,165.399994,156.600006,156.660004,152.273727,468415
2021-05-11,156.960007,157.080002,151.080002,154.259995,149.940918,771292
2021-05-12,155.259995,170.779999,151.779999,161.000000,156.492218,963645
2021-05-13,162.199997,164.119995,155.740005,157.919998,153.498444,604194
2021-05-14,159.479996,166.759995,155.100006,164.880005,160.263580,614872
2021-05-17,167.000000,178.000000,165.500000,171.720001,166.912064,927411
2021-05-18,174.500000,176.660004,167.240005,170.000000,165.240219,935851
2021-05-19,169.000000,170.300003,166.000000,169.059998,164.326538,578879
2021-05-20,169.220001,176.320007,169.199997,175.500000,170.586227,681645
2021-05-21,175.500000,176.360001,171.460007,173.000000,168.156235,659440
2021-05-24,172.000000,172.000000,168.100006,168.220001,163.510056,463011
2021-05-25,169.220001,173.660004,162.100006,164.899994,160.283005,641936
2021-05-26,165.000000,168.179993,161.600006,161.600006,157.075424,392376
2021-05-27,165.600006,175.500000,165.500000,175.500000,170.586227,1112344
2021-05-28,177.699997,182.960007,174.000000,178.580002,173.580002,598754
2021-05-31,175.000000,175.000000,168.279999,168.740005,168.740005,525989
2021-06-01,156.119995,158.000000,152.600006,153.380005,153.380005,1833059
2021-06-02,154.000000,161.779999,152.800003,161.580002,161.580002,1247488
2021-06-03,null,null,null,null,null,null
